TeamID,Team Name,Wins,Losses,Ties,ConferenceID,CoachID,Location
tID1,Monarchs,0,0,0,0,0,"Frankfort Springs,PA"
tID2,Cobras,0,0,0,0,0,"Brooklyn Center,MN"
tID3,Warhawks,0,0,0,0,0,"Woodville,OH"
tID4,Gnomes,0,0,0,0,0,"Warsaw,IL"
tID5,Titans,0,0,0,0,0,"Raymond,MN"
tID6,Gladiators,0,0,0,0,0,"Lilly,GA"
tID7,Warhammers,0,0,0,0,0,"Merrifield,MN"
tID8,Supremes,0,0,0,0,0,"Vici,OK"
tID9,Supremes,0,0,0,0,0,"East Harwich,MA"
tID10,Gladiators,0,0,0,0,0,"Ossun,LA"
tID11,Vikings,0,0,0,0,0,"Elmer,OK"
tID12,Shoguns,0,0,0,0,0,"South Acomita Village,NM"
tID13,Enforcers,0,0,0,0,0,"Blomkest,MN"
tID14,Crusaders,0,0,0,0,0,"Inverness Highlands North,FL"
tID15,Fliers,0,0,0,0,0,"Tower,MN"
tID16,Zoomers,0,0,0,0,0,"Folsom,CA"
tID17,Exemplars,0,0,0,0,0,"Woodsboro,TX"
tID18,Slayers,0,0,0,0,0,"Hartwick,IA"
tID19,Scions,0,0,0,0,0,"Whitemarsh Island,GA"
tID20,Riders,0,0,0,0,0,"Blanchard,OK"
tID21,Brigadiers,0,0,0,0,0,"Kaleva,MI"
tID22,Jaguars,0,0,0,0,0,"Cadwell,GA"
tID23,Lumberjacks,0,0,0,0,0,"Bellefontaine,OH"
tID24,Spirits,0,0,0,0,0,"Mulhall,OK"
tID25,Brutes,0,0,0,0,0,"Mountain Home,ID"
tID26,Strikers,0,0,0,0,0,"Starr School,MT"
tID27,Skyhawks,0,0,0,0,0,"Delavan,MN"
tID28,Heretics,0,0,0,0,0,"Powers,OR"
tID29,Battlers,0,0,0,0,0,"Parkland,WA"
tID30,Whitehawks,0,0,0,0,0,"West Blocton,AL"
tID31,Lancers,0,0,0,0,0,"San Fernando,CA"
tID32,Deacons,0,0,0,0,0,"Manley Hot Springs,AK"
tID33,Terminators,0,0,0,0,0,"Mount Blanchard,OH"
tID34,Highlanders,0,0,0,0,0,"Nora Springs,IA"
tID35,Challengers,0,0,0,0,0,"Tremont,MS"
tID36,Destroyers,0,0,0,0,0,"Holladay,TN"
tID37,Zephyrs,0,0,0,0,0,"New Union,AL"
tID38,Griffins,0,0,0,0,0,"McBride,MI"
tID39,Mongrels,0,0,0,0,0,"New Lexington,OH"
tID40,Marshals,0,0,0,0,0,"Crump,TN"
tID41,Legends,0,0,0,0,0,"Pryorsburg,KY"
tID42,Firestarters,0,0,0,0,0,"Potomac,IL"
tID43,Tridents,0,0,0,0,0,"Hamilton,AL"
tID44,Gaels,0,0,0,0,0,"Terrace Heights,WA"
tID45,Nymphs,0,0,0,0,0,"Vintondale,PA"
tID46,Hydras,0,0,0,0,0,"Woodstock,AL"
tID47,Voyagers,0,0,0,0,0,"Neligh,NE"
tID48,Monks,0,0,0,0,0,"Burlington,WA"
tID49,Titans,0,0,0,0,0,"O'Brien,OR"
tID50,Norsemen,0,0,0,0,0,"Parmelee,SD"
tID51,Windchasers,0,0,0,0,0,"Ponder,TX"
tID52,Goldens,0,0,0,0,0,"Oakland Park,FL"
tID53,Seekers,0,0,0,0,0,"Pitkin,LA"
tID54,Lynxes,0,0,0,0,0,"Prattville,AL"
tID55,Enchanters,0,0,0,0,0,"Vanduser,MO"
tID56,Rhinos,0,0,0,0,0,"Eastborough,KS"
tID57,Enchanters,0,0,0,0,0,"Hedley,TX"
tID58,Stalwarts,0,0,0,0,0,"New Houlka,MS"
tID59,Samurais,0,0,0,0,0,"Dansville,MI"
tID60,Pegasus,0,0,0,0,0,"Banning,CA"
tID61,Tusked Titans,0,0,0,0,0,"Itta Bena,MS"
tID62,Warhawks,0,0,0,0,0,"Newkirk,OK"
tID63,Magnums,0,0,0,0,0,"Richfield Springs,NY"
tID64,Disciples,0,0,0,0,0,"Monticello,MN"
tID65,Shamans,0,0,0,0,0,"Stratton Mountain,VT"
tID66,Phoenixes,0,0,0,0,0,"Glenview,KY"
tID67,Whitehawks,0,0,0,0,0,"Pasadena Park,MO"
tID68,Sharks,0,0,0,0,0,"Squaw Lake,MN"
tID69,Oracles,0,0,0,0,0,"Plainville,IL"
tID70,Patriots,0,0,0,0,0,"Otis,KS"
tID71,Magus,0,0,0,0,0,"Wallace,NE"
tID72,Gatekeepers,0,0,0,0,0,"Soulsbyville,CA"
tID73,Gallants,0,0,0,0,0,"Robinson,PA"
tID74,Crusaders,0,0,0,0,0,"Pleasure Point,CA"
tID75,Yachtsmen,0,0,0,0,0,"Morrice,MI"
tID76,Pythons,0,0,0,0,0,"Manhattan,MT"
tID77,Trailblazers,0,0,0,0,0,"Mendeltna,AK"
tID78,Lancers,0,0,0,0,0,"Kellogg,ID"
tID79,Bulldogs,0,0,0,0,0,"Green River,WY"
tID80,Rangers,0,0,0,0,0,"Hollister,CA"
tID81,Cyclones,0,0,0,0,0,"Norwood Young America,MN"
tID82,Saints,0,0,0,0,0,"San Jon,NM"
tID83,Overcomers,0,0,0,0,0,"Adrian,MI"
tID84,Tigers,0,0,0,0,0,"Rex,NC"
tID85,Patriots,0,0,0,0,0,"Rushford Village,MN"
tID86,Impalers,0,0,0,0,0,"Fairmont,OK"
tID87,Shamans,0,0,0,0,0,"Hornsby Bend,TX"
tID88,Disciples,0,0,0,0,0,"Edna,CA"
tID89,Outriders,0,0,0,0,0,"Rendon,TX"
tID90,Shieldbearers,0,0,0,0,0,"Forksville,PA"
tID91,Brawlers,0,0,0,0,0,"Forest Heights,MD"
tID92,Crushers,0,0,0,0,0,"Nipinnawasee,CA"
tID93,Heroes,0,0,0,0,0,"Stanberry,MO"
tID94,Wildcats,0,0,0,0,0,"Floris,IA"
tID95,Exemplars,0,0,0,0,0,"Lennox,SD"
tID96,Chieftains,0,0,0,0,0,"Allen,OK"
tID97,Drones,0,0,0,0,0,"Sturgeon Lake,MN"
tID98,Chiefs,0,0,0,0,0,"Arcola,TX"
tID99,Xcalibers,0,0,0,0,0,"Petersburg,TN"
tID100,Gators,0,0,0,0,0,"Fredericksburg,PA"
tID101,Sabers,0,0,0,0,0,"Red Bluff,CA"
tID102,Stormbreakers,0,0,0,0,0,"Charleston,UT"
tID103,Wraiths,0,0,0,0,0,"Marysville,IA"
tID104,Vanguards,0,0,0,0,0,"Rockwell Place,TX"
tID105,Warlords,0,0,0,0,0,"Kongiganak,AK"
tID106,Moonshiners,0,0,0,0,0,"Hostetter,PA"
tID107,Horizons,0,0,0,0,0,"East Quincy,CA"
tID108,Disciples,0,0,0,0,0,"Patton Village,CA"
tID109,Barracudas,0,0,0,0,0,"Eddington,PA"
tID110,Courtiers,0,0,0,0,0,"Crowley,TX"
tID111,Elites,0,0,0,0,0,"Lemay,MO"
tID112,Leviathans,0,0,0,0,0,"Moro,AR"
tID113,Divers,0,0,0,0,0,"Goleta,CA"
tID114,Raiders,0,0,0,0,0,"Sylvanite,MT"
tID115,Mariners,0,0,0,0,0,"Gays,IL"
tID116,Samurais,0,0,0,0,0,"Metcalf,IL"
tID117,Mountaineers,0,0,0,0,0,"Port Neches,TX"
tID118,Neptunes,0,0,0,0,0,"Harrisville,OH"
tID119,Raptors,0,0,0,0,0,"Carlsbad,CA"
tID120,Amazons,0,0,0,0,0,"Candlewood Knolls,CT"
tID121,Neptunes,0,0,0,0,0,"Nashville,MI"
tID122,Firestarters,0,0,0,0,0,"Emmet,AR"
tID123,Warhawks,0,0,0,0,0,"Shenandoah Junction,WV"
tID124,Emperors,0,0,0,0,0,"Beason,IL"
tID125,Inquisitors,0,0,0,0,0,"Union Level,VA"
tID126,Explorers,0,0,0,0,0,"Seven Devils,NC"
tID127,Foresters,0,0,0,0,0,"Foreston,SC"
tID128,Snakes,0,0,0,0,0,"Kenmar,PA"
tID129,Archers,0,0,0,0,0,"Pascola,MO"
tID130,Centaurs,0,0,0,0,0,"Red Corral,CA"
tID131,Zoomers,0,0,0,0,0,"Lanare,CA"
tID132,Talons,0,0,0,0,0,"Holcomb,KS"
tID133,Striders,0,0,0,0,0,"Pender,NE"
tID134,Thunderstorms,0,0,0,0,0,"Hot Sulphur Springs,CO"
tID135,Marshals,0,0,0,0,0,"Dauphin Island,AL"
tID136,Immortals,0,0,0,0,0,"Rogers,MN"
tID137,Tornadoes,0,0,0,0,0,"Houston Lake,MO"
tID138,Waves,0,0,0,0,0,"Rolla,KS"
